x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.096,0.5680502172514919,0.5680502172514919,0.13747534808701012,0.36734929723433635,0.5680171788354376,0.5679869170927452,0.36734929723433635
0.098,0.6141939301474189,0.6141939301474189,0.7535212829052218,0.6245744693412008,0.6139928394033028,0.614033342254466,0.6245744693412008
0.1,0.6597344572538566,0.6597344572538566,0.49602247970187585,0.6248100887902199,0.659862818500488,0.6597654501832674,0.6248100887902199
0.102,0.7046717985708044,0.7046717985708044,0.7619160574089991,0.7614053945693383,0.7046335858769677,0.7046065418008476,0.7614053945693383
0.104,0.7490059540982636,0.7490059540982636,1.175723302830302,0.8003239816147343,0.7488016108303964,0.7488442519937402,0.8003239816147343
0.106,0.7927369238362336,0.7927369238362336,0.42513113064357705,0.8003239816147343,0.7928635655233822,0.7927667209213494,0.8003239816147343
0.108,0.8358647077847143,0.8358647077847143,1.0569541842457582,0.8724467348336602,0.8358258013919078,0.835797050496758,0.8724467348336602
0.11,0.878389305943706,0.878389305943706,0.6882390717179035,0.8724467348336602,0.8781849518156138,0.878223470027021,0.8724467348336602
0.112,0.9203107183132082,0.9203107183132082,1.030656470315493,0.974094375598944,0.9204378256319576,0.9203344317311565,0.974094375598944
0.114,0.9616289448932211,0.9616289448932211,1.0503560503744458,0.974094375598944,0.9615906211546212,0.9615531021315388,0.974094375598944
0.116,1.0023439856837448,1.0023439856837448,1.2122497387258864,0.9742628607574016,1.0021400704734593,1.0021680260570223,0.9742628607574016
0.118,1.0424558406847793,1.0424558406847793,0.8640691693264599,0.9742628607574016,1.0425830008540995,1.0424676893707194,0.9742628607574016
0.12,1.0819645098963246,1.0819645098963246,0.8307069490779089,0.9744217567335877,1.081925473942408,1.0818754802739725,0.9744217567335877
0.122,1.1208699933183808,1.1208699933183808,0.8564514645591816,0.9744217567335877,1.1206642168075165,1.1206799643849745,0.9744217567335877
0.124,1.1591722909509474,1.1591722909509474,1.578713842209371,1.200512051502603,1.1592961069423084,1.1591695778735507,1.200512051502603
0.126,1.196871402794025,1.196871402794025,1.1141378601324405,1.200512051502603,1.1968269740939348,1.1967679151691417,1.200512051502603
0.128,1.2339673288476134,1.2339673288476134,1.1057343839707034,1.2006576634448212,1.2337536122688648,1.2337634322128994,1.2006576634448212
0.13,1.2704600691117123,1.2704600691117123,1.230944502327077,1.2006576634448212,1.2705729695825059,1.27044443606547,1.2006576634448212
0.132,1.3063496235863221,1.3063496235863221,1.0955007200600992,1.200843757277141,1.3062906739860216,1.3062346355322862,1.200843757277141
0.134,1.341635992271443,1.341635992271443,1.0810736566950527,1.200843757277141,1.341403671910871,1.3414223375157677,1.200843757277141
0.136,1.3763191751670742,1.3763191751670742,1.2435908612431819,1.2441378169410282,1.3764090648629317,1.3762956841839715,1.2441378169410282
0.138,1.410399172273216,1.410399172273216,1.4529635768639173,1.3515604961933019,1.4103124503366817,1.4102783720533814,1.3515604961933019
0.14,1.4438759835898691,1.4438759835898691,1.344825321301271,1.351781284681063,1.4436111941501133,1.44365844933785,1.351781284681063
0.142,1.4767496091170322,1.4767496091170322,1.2572167592515628,1.351781284681063,1.4768022861235357,1.4767240664631553,1.351781284681063
0.144,1.5090200488547065,1.5090200488547065,1.4536738366529576,1.4538586353287595,1.5088926557886304,1.5088986763923142,1.4538586353287595
0.146,1.5406873028028918,1.5406873028028918,1.7643450846319337,1.566910267600078,1.5403804454578722,1.5404702891135844,1.566910267600078
0.148,1.5717513709615876,1.5717513709615876,1.4232571033830572,1.567137546863155,1.5717630815783439,1.571727012495836,1.567137546863155
0.15,1.6022122533307943,1.6022122533307943,1.994318151100704,1.567137546863155,1.6020513436711765,1.6020920449716642,1.567137546863155
0.152,1.6320699499105118,1.6320699499105118,1.6896442445134134,1.567270174449419,1.6317430788626637,1.6318534293504474,1.567270174449419
0.154,1.66132446070074,1.66132446070074,1.1645001966393402,1.567270174449419,1.661334285882679,1.6612994151812828,1.567270174449419
0.156,1.689975785701479,1.689975785701479,1.3671590119664572,1.5674111422216248,1.689834571668551,1.689853004832842,1.5674111422216248
0.158,1.7180239249127287,1.7180239249127287,1.7359986549658712,1.68513496127759,1.71773914169722,1.7178025065983424,1.68513496127759
0.16,1.745468878334489,1.745468878334489,1.6346746786924056,1.6853705807266093,1.7455432808702696,1.7454363052174418,1.6853705807266093
0.162,1.7723106459667604,1.7723106459667604,1.9172398516648186,1.8315776321977575,1.772256367283083,1.7721779510832774,1.8315776321977575
0.164,1.7985492278095423,1.7985492278095423,1.7790780701137725,1.8318081720794015,1.7983735077793694,1.798316753657606,1.8318081720794015
0.166,1.824184623862835,1.824184623862835,2.1400105921784807,1.8318081720794015,1.8243898471177558,1.824141734932894,1.8318081720794015
0.168,1.8492168341266386,1.8492168341266386,1.6288577481149302,1.8320171395241198,1.8493142140429992,1.8490785511857166,1.8320171395241198
0.17,1.8736458586009528,1.8736458586009528,1.8107982756894676,1.8320171395241198,1.8736411827814032,1.873415276451291,1.8320171395241198
0.172,1.8974716972857775,1.8974716972857775,2.0819740841181247,1.8321736457586204,1.89786551346608,1.8974395793530512,1.8321736457586204
0.174,1.9206943501811131,1.9206943501811131,1.7350047416219248,1.8321736457586204,1.9209942292524886,1.9205760968492387,1.8321736457586204
0.176,1.9433138172869597,1.9433138172869597,1.5916595599293304,1.8323471111897345,1.9435209728030065,1.9431124206772215,1.8323471111897345
0.178,1.965330098603317,1.965330098603317,1.8024350277830594,1.8323471111897345,1.9659403721587063,1.9653361358288564,1.8323471111897345
0.18,1.9867431941301852,1.9867431941301852,2.116962332623432,2.115785640475166,1.9872564508367219,1.986671607014464,2.115785640475166
0.182,2.007553103867564,2.007553103867564,2.367733155786234,2.1429142504619403,2.007962434143939,2.007406046423479,2.1429142504607905
0.184,2.0277598278154536,2.0277598278154536,2.1165804873825764,2.143119084424513,2.0285533436305485,2.027826779340223,2.1431190844233634
0.186,2.0473633659738537,2.0473633659738537,2.004134780652294,2.143119084424513,2.048028601274327,2.0473569492983876,2.1431190844233634
0.188,2.0663637183427648,2.0663637183427648,2.178403883258651,2.143309725672371,2.0668813392634613,2.066283086542448,2.143309725671221
0.19,2.084760884922187,2.084760884922187,2.059588164150026,2.143309725672371,2.0856075632180615,2.08489239260566,2.143309725671221
0.192,2.1025548657121194,2.1025548657121194,2.138119360674937,2.1435311524066747,2.1032001954806283,2.1026058037930895,2.1435311524055245
0.194,2.119745660712563,2.119745660712563,2.259998565418279,2.1674414612136785,2.120152818348776,2.1197094119188864,2.1674414612033712
0.196,2.136333269923517,2.136333269923517,2.075554490429054,2.1676770806626977,2.1369632247637655,2.1364906425814194,2.1676770806523904
0.198,2.152317693344982,2.152317693344982,2.4904121522029237,2.1758565197524553,2.1526155677700856,2.1523669259618874,2.175856519733801
0.2,2.1676989309769574,2.1676989309769574,2.2563947468202734,2.1760300062554716,2.167604615979418,2.167624178751292,2.1760300062368167
0.202,2.182476982819444,2.182476982819444,2.2613277723721446,2.1760300062554716,2.182430980726983,2.1825505439679938,2.1760300062368167
0.204,2.196651848872441,2.196651848872441,1.7606211628318362,2.1761930549420168,2.1960671509875445,2.1965583715627623,2.1761930549233615
0.206,2.2102235291359484,2.2102235291359484,2.109069068105639,2.1761930549420168,2.208711891142345,2.2099338571222567,2.1761930549233615
0.208,2.2231920236099674,2.2231920236099674,2.573297699569344,2.253154210995428,2.2204281027199237,2.222966575941914,2.2531542102517896
0.21,2.235557332294497,2.235557332294497,2.2484205542254228,2.253154210995428,2.2310344200980037,2.235061867354777,2.2531542102517896
0.212,2.247319455189537,2.247319455189537,2.2634412379312687,2.2532885799876556,2.2411763937060383,2.2464474947758433,2.253288579244017
0.214,2.2584783922950877,2.2584783922950877,1.9285792447921963,2.2532885799876556,2.251318367314073,2.257056737863972,2.253288579244017
0.216,2.2690341436111496,2.2690341436111496,2.3225431025279177,2.276374008620204,2.2605454547377555,2.26532463287051,2.276374006110303
0.218,2.278986709137722,2.278986709137722,2.2303758081441836,2.276374008620204,2.2693648422310466,2.2732651230878402,2.276374006110303
0.22,2.2883360888748054,2.2883360888748054,2.5167467104770767,2.3180713814764697,2.2781842297243378,2.2812056133051706,2.318071370665707
