x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.144,1.5090200488547065,1.5090200488547065,1.5106494420494465,1.472319479619111,1.5089512819056077,1.5089553143345633,1.472319479619111
0.146,1.5406873028028918,1.5406873028028918,1.4335116134235422,1.472319479619111,1.5404320716482134,1.5405194470469854,1.472319479619111
0.148,1.5717513709615876,1.5717513709615876,1.553508063764335,1.5116612333041446,1.571807178161647,1.5717684780841377,1.5116612333041446
0.15,1.6022122533307943,1.6022122533307943,1.4689697860057327,1.5116612333041446,1.6020873585462376,1.6021255813860842,1.5116612333041446
0.152,1.6320699499105118,1.6320699499105118,1.8532256777910008,1.6303123743946404,1.631770822397214,1.6318789687586692,1.6303123743946404
0.154,1.66132446070074,1.66132446070074,1.4172630820033627,1.6303123743946404,1.6613537920003414,1.661316989046477,1.6303123743946404
0.156,1.689975785701479,1.689975785701479,1.6553654523772952,1.6305075853309596,1.6898460112128022,1.689862684832547,1.6305075853309596
0.158,1.7180239249127287,1.7180239249127287,1.612962709588158,1.6305075853309596,1.71774273776289,1.7178045127212525,1.6305075853309596
0.16,1.745468878334489,1.745468878334489,1.7726076680653122,1.6307127581025946,1.7455391330193366,1.7454308209996392,1.6307127581025946
0.162,1.7723106459667604,1.7723106459667604,1.4710158795982353,1.6307127581025946,1.7722447149846845,1.772165385866548,1.6307127581025946
0.164,1.7985492278095423,1.7985492278095423,1.7819745293309963,1.7606625417318662,1.7983545631154354,1.7982975209669274,1.7606625417318662
0.166,1.824184623862835,1.824184623862835,1.7635606964761095,1.7606625417318662,1.824363805472476,1.824116201778644,1.7606625417318662
0.168,1.8492168341266386,1.8492168341266386,1.7361544788993413,1.7608948017565682,1.8492814204965224,1.8490473604010453,1.7608948017565682
0.17,1.8736458586009528,1.8736458586009528,2.1152860088665313,1.8718824947763728,1.8736020132810591,1.873378995642097,1.8718824947763728
0.172,1.8974716972857775,1.8974716972857775,1.6287218246308637,1.872118114225392,1.8978203448785043,1.8973986391951239,1.872118114225392
0.174,1.9206943501811131,1.9206943501811131,1.9723551079951938,1.9714399184495632,1.920943692903443,1.9205311940689178,1.9714399184495632
0.176,1.9433138172869597,1.9433138172869597,2.300874531766524,2.0031694843034415,1.9434656684044016,1.9430641109070816,2.0031694843034415
0.178,1.965330098603317,1.965330098603317,1.8247158814680497,2.0031694843034415,1.9658807994201086,1.965284866644899,2.0031694843034415
0.18,1.9867431941301852,1.9867431941301852,2.312621993680555,2.003291537684063,1.987193383737395,1.9866180745874054,2.003291537684063
0.182,2.007553103867564,2.007553103867564,1.82925844859116,2.003291537684063,2.0078965751991404,2.0073508327294136,2.003291537684063
0.184,2.0277598278154536,2.0277598278154536,1.7524111601227668,2.003460215790023,2.0284852866477077,2.027770350611658,2.003460215790023
0.186,2.0473633659738537,2.0473633659738537,2.004407392974191,2.0042201134423117,2.0479592535568396,2.0473000180250667,2.0042201134423117
0.188,2.0663637183427648,2.0663637183427648,2.2360840406221882,2.0216740471924477,2.066811500526682,2.066226231681131,2.0216740471924477
0.19,2.084760884922187,2.084760884922187,2.0920724214160926,2.0216740471924477,2.0855378844963735,2.084836058248503,2.0216740471924477
0.192,2.1025548657121194,2.1025548657121194,1.9360469354699668,2.021844542159238,2.1031316780577076,2.102550667991297,2.021844542159238
0.194,2.119745660712563,2.119745660712563,2.034029574400738,2.021844542159238,2.120086314907032,2.1196560154168984,2.021844542159238
0.196,2.136333269923517,2.136333269923517,1.9806882606009957,2.02202173519785,2.136899408704582,2.136439384254693,2.02202173519785
0.198,2.152317693344982,2.152317693344982,1.8493055614661014,2.02202173519785,2.1525554774201976,2.152318427055035,2.02202173519785
0.2,2.1676989309769574,2.1676989309769574,2.0415852483059704,2.0358286299986976,2.167549097569323,2.1675789089424917,2.0358286299986976
0.202,2.182476982819444,2.182476982819444,2.0275279308025564,2.0358286299986976,2.182380662849291,2.1825088347014545,2.0358286299986976
0.204,2.196651848872441,2.196651848872441,2.4054994212906666,2.196255155740065,2.19602299807592,2.1965207352831273,2.196255155740065
0.206,2.2102235291359484,2.2102235291359484,1.9872566554656101,2.196255155740065,2.208690225501176,2.2099006475594347,2.196255155740065
0.208,2.2231920236099674,2.2231920236099674,2.6646716199570712,2.3093840330363324,2.2204185283219124,2.2229380087258743,2.3093840330363324
0.21,2.235557332294497,2.235557332294497,2.099582999527334,2.3093840330363324,2.231028284388426,2.235038257979001,2.3093840330363324
0.212,2.247319455189537,2.247319455189537,2.29647269166472,2.3095436500757964,2.241173621584525,2.2464334478221937,2.3095436500757964
0.214,2.2584783922950877,2.2584783922950877,2.3268837243245173,2.3095436500757964,2.251318958780624,2.257052412578269,2.3095436500757964
0.216,2.2690341436111496,2.2690341436111496,2.2263839087760595,2.3097491286593455,2.260549203365456,2.2653243280180795,2.3097491286593455
0.218,2.278986709137722,2.278986709137722,2.280429678147591,2.3097491286593455,2.269371484075189,2.2732651324033686,2.3097491286593455
0.22,2.2883360888748054,2.2883360888748054,2.421383450909342,2.309952414778981,2.2781937647849215,2.2812059367886577,2.309952414778981
0.222,2.2970822828223993,2.2970822828223993,2.1666337441089216,2.309952414778981,2.2862272280772684,2.288686102396916,2.309952414778981
0.224,2.305225290980504,2.305225290980504,2.380399326973248,2.3457988624567143,2.293980270342039,2.295964493894154,2.3457988624567143
0.226,2.3127651133491196,2.3127651133491196,2.5553051911951643,2.3457988624567143,2.30173331260681,2.3032428853913918,2.3457988624567143
0.228,2.319701749928246,2.319701749928246,2.4620671459869037,2.3459724727456157,2.308954926113863,2.310137218098328,2.3459724727456157
0.23,2.326035200717883,2.326035200717883,2.5157502955410576,2.3459724727456157,2.3160868465440205,2.3169148743082344,2.3459724727456157
0.232,2.3317654657180307,2.3317654657180307,2.313442429115218,2.3460733129552964,2.323218766974178,2.323692530518141,2.3460733129552964
0.234,2.336892544928689,2.336892544928689,2.320689644504151,2.3460733129552964,2.330193229829712,2.3302579751079513,2.3460733129552964
0.236,2.3414164383498584,2.3414164383498584,2.376898348684513,2.3461515872441407,2.3373035219326552,2.336835282888387,2.3461515872441407
0.238,2.3453371459815386,2.3453371459815386,1.942090314836679,2.3461515872441407,2.3444138140355983,2.343412590668823,2.3461515872441407
0.24,2.3486546678237294,2.3486546678237294,2.890313515422077,2.3462067777729487,2.3518015486132304,2.350026000672191,2.3462067777729487
0.242,2.3513690038764308,2.3513690038764308,2.6745271175135863,2.3462067777729487,2.3595387240571175,2.3567908448173647,2.3462067777729487
0.244,2.353480154139643,2.353480154139643,1.9468104080983224,2.346250849965009,2.367275899501005,2.363555688962538,2.346250849965009
0.246,2.3549881186133663,2.3549881186133663,2.475500966958409,2.346250849965009,2.3756936341897945,2.370617158106155,2.346250849965009
0.248,2.3558928972976,2.3558928972976,2.4531350216580954,2.3462686830716644,2.3845984712711537,2.377926731229332,2.3462686830716644
0.25,2.356194490192345,2.356194490192345,2.0990947371527477,2.3462686830716644,2.393503308352513,2.3852363043525093,2.3462686830716644
0.252,2.3813272314210634,2.3813272314210634,1.8852357915451632,2.346360314769749,2.403328171310458,2.3930038277680845,2.346360314769749
0.254,2.4064599726497815,2.4064599726497815,2.240836231644727,2.346360314769749,2.4235098893262057,2.415586229655176,2.346360314769749
0.256,2.4315927138785,2.4315927138785,2.4745105894431476,2.474307235302836,2.4443617013368173,2.4385102454229957,2.474307235302836
0.258,2.456725455107218,2.456725455107218,2.589539328109448,2.588062545303906,2.4661445094133776,2.461899813629084,2.588062384837784
0.26,2.4818581963359367,2.4818581963359367,2.860329754175474,2.5893408034858876,2.488355134422104,2.485503561685166,2.589339860185473
0.262,2.506990937564655,2.506990937564655,2.851663729165242,2.5893408034858876,2.510565759430831,2.509107309741248,2.589339860185473
0.264,2.5321236787933734,2.5321236787933734,2.099855170911783,2.5895273142067508,2.5336136491416883,2.533130434279618,2.589526370906336
0.266,2.557256420022092,2.557256420022092,2.5670996639616948,2.5895273142067508,2.557006366372197,2.5573271191598144,2.589526370906336
0.268,2.58238916125081,2.58238916125081,2.5702664948432496,2.589756299442839,2.580399083602706,2.5815238040400104,2.5897553561424242
0.27,2.6075219024795286,2.6075219024795286,2.7982645050123387,2.68272278675325,2.6044702910095294,2.606062321837853,2.68267590797632
0.272,2.6326546437082468,2.6326546437082468,2.5713249898694035,2.6829578378200987,2.628787617219759,2.630726664268352,2.682910959043168
0.274,2.6577873849369653,2.6577873849369653,2.75551795142878,2.6829578378200987,2.653104943429988,2.655391006698851,2.682910959043168
0.276,2.6829201261656834,2.6829201261656834,2.8376897886107892,2.6831566131188915,2.677911068591766,2.680305599790054,2.6831097343419605
0.278,2.708052867394402,2.708052867394402,2.828144126717411,2.6831566131188915,2.7028661987061056,2.705299775211374,2.6831097343419605
0.28,2.7331856086231205,2.7331856086231205,2.567122581828858,2.6833150459047865,2.727821328820445,2.7302939506326944,2.683268167127856
0.282,2.758318349851838,2.758318349851838,2.4223675171677446,2.6833150459047865,2.7530780482992867,2.755449324112342,2.683268167127856
0.284,2.7834510910805563,2.7834510910805563,2.960993397255564,2.8027812914277037,2.7784025182430945,2.7806463494389466,2.758010754600998
